id,title,description,category,ageRangeKey,ageRange,startMonths,endMonths,period,importance,isTypical,prerequisites,skills,observationTips,supportStrategies,redFlags,resources,createdDate,modifiedDate
prenatal_early_physical_1,Neural tube formation,Neural tube formation and early brain development,physical,prenatal_early,-12 to -6 months,-12,-6,prenatal,critical,true,,Neural development,Monitor prenatal health,Proper prenatal care and nutrition,Severe developmental abnormalities,Prenatal care resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_early_cognitive_1,Basic neural pathway formation,Basic neural pathway formation and brain structure,cognitive,prenatal_early,-12 to -6 months,-12,-6,prenatal,high,true,,Brain development,Regular prenatal checkups,Avoid harmful substances,Neural tube defects,Educational prenatal materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_early_social_emotional_1,Response to maternal stress,Response to maternal stress and emotions,social_emotional,prenatal_early,-12 to -6 months,-12,-6,prenatal,medium,true,,Emotional response,Manage maternal stress,Stress reduction techniques,Extreme maternal stress,Stress management resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_early_language_1,Auditory system development,Auditory system development for hearing,language,prenatal_early,-12 to -6 months,-12,-6,prenatal,high,true,,Hearing development,Monitor auditory development,Healthy prenatal environment,Hearing defects,Prenatal hearing information,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_physical_1,Organ formation,Organ formation and basic body structure development,physical,prenatal_late,-6 to 0 months,-6,0,prenatal,critical,true,prenatal_early_physical_1,Physical structure,Regular ultrasounds,Continued prenatal care,Major organ defects,Medical prenatal support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_cognitive_1,Sensory organ development,Sensory organ development and initial response capabilities,cognitive,prenatal_late,-6 to 0 months,-6,0,prenatal,high,true,prenatal_early_cognitive_1,Sensory development,Monitor sensory responses,Sensory stimulation activities,Sensory impairments,Sensory development guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_social_emotional_1,Initial bonding preparation,Initial bonding preparation through maternal interactions,social_emotional,prenatal_late,-6 to 0 months,-6,0,prenatal,medium,true,prenatal_early_social_emotional_1,Bonding preparation,Talk and sing to baby,Positive maternal interactions,Attachment concerns,Bonding preparation materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
prenatal_late_language_1,Vocal cord formation,Vocal cord formation and preparation for sound production,language,prenatal_late,-6 to 0 months,-6,0,prenatal,high,true,prenatal_early_language_1,Voice development,Monitor vocal development,Healthy vocal environment,Vocal defects,Voice development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_physical_1,Head control,Head control and neck strength development,physical,infancy_0_6,0-6 months,0,6,infancy,critical,true,,Neck strength,Tummy time practice,Daily tummy time,No head control by 4 months,Tummy time activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_cognitive_1,Visual tracking,Visual tracking and focus development,cognitive,infancy_0_6,0-6 months,0,6,infancy,high,true,,Visual focus,Follow objects with eyes,Use colorful toys,No visual tracking by 3 months,Visual stimulation toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_social_emotional_1,Social smiling,Social smiling and interaction with caregivers,social_emotional,infancy_0_6,0-6 months,0,6,infancy,high,true,,Social response,Respond to smiles,Frequent face-to-face interaction,No social smiling by 2 months,Social interaction guides,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_0_6_language_1,Cooing,Cooing and early vocalizations,language,infancy_0_6,0-6 months,0,6,infancy,high,true,,Vocalization,Make cooing sounds,Talk back to baby,No vocalizations by 4 months,Language development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_physical_1,Rolling over,Rolling over and basic mobility skills,physical,infancy_6_12,6m - 1y 0m,6,12,infancy,critical,true,infancy_0_6_physical_1,Rolling mobility,Roll from back to tummy,Encourage rolling practice,No rolling by 8 months,Mobility development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_cognitive_1,Object permanence,Object permanence understanding,cognitive,infancy_6_12,6m - 1y 0m,6,12,infancy,high,true,infancy_0_6_cognitive_1,Memory development,Look for hidden objects,Peek-a-boo games,No object permanence by 10 months,Cognitive development toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_social_emotional_1,Attachment formation,Attachment formation with primary caregivers,social_emotional,infancy_6_12,6m - 1y 0m,6,12,infancy,critical,true,infancy_0_6_social_emotional_1,Secure attachment,Show preference for caregivers,Consistent responsive care,No attachment behaviors by 8 months,Attachment building strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_6_12_language_1,Babbling,Babbling and sound experimentation,language,infancy_6_12,6m - 1y 0m,6,12,infancy,high,true,infancy_0_6_language_1,Sound production,Make babbling sounds,Imitate and respond to sounds,No babbling by 8 months,Babbling encouragement activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_physical_1,Sitting support,Sitting with and without support,physical,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,critical,true,infancy_6_12_physical_1,Sitting balance,Sit independently,Provide sitting practice,No sitting by 12 months,Sitting development aids,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_cognitive_1,Cause and effect,Cause and effect recognition,cognitive,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,high,true,infancy_6_12_cognitive_1,Logic development,Understand cause and effect,Interactive cause-effect toys,No understanding by 15 months,Cause-effect learning toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_social_emotional_1,Stranger awareness,Stranger awareness and appropriate anxiety,social_emotional,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,medium,true,infancy_6_12_social_emotional_1,Social discrimination,Show wariness of strangers,Gradual social exposure,No stranger awareness or extreme fear,Social development guidance,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_12_18_language_1,First words,First words and meaningful sounds,language,infancy_12_18,1y 0m - 1y 6m,12,18,infancy,critical,true,infancy_6_12_language_1,Word production,Say first meaningful words,Repeat and reinforce words,No words by 15 months,First words encouragement,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_physical_1,Crawling,Crawling and pulling to stand,physical,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,critical,true,infancy_12_18_physical_1,Mobility progression,Crawl and pull to standing,Encourage crawling exploration,No crawling by 18 months,Crawling development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_cognitive_1,Problem solving,Problem-solving with toys and objects,cognitive,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,high,true,infancy_12_18_cognitive_1,Problem solving,Solve simple problems,Provide puzzles and challenges,No problem-solving attempts,Problem-solving toys,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_social_emotional_1,Emotional regulation,Basic emotional regulation development,social_emotional,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,high,true,infancy_12_18_social_emotional_1,Emotional control,Show basic emotional control,Model emotional regulation,Extreme emotional outbursts,Emotional regulation strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
infancy_18_24_language_1,Simple commands,Understanding simple commands,language,infancy_18_24,1y 6m - 2y 0m,18,24,infancy,high,true,infancy_12_18_language_1,Command comprehension,Follow simple instructions,Use clear simple commands,No command following by 20 months,Language comprehension activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_physical_1,First steps,First steps and independent walking,physical,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,critical,true,infancy_18_24_physical_1,Independent walking,Walk without support,Encourage walking practice,No walking by 24 months,Walking development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_cognitive_1,Memory development,Memory development and recognition,cognitive,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,high,true,infancy_18_24_cognitive_1,Memory skills,Remember familiar people and places,Memory games and repetition,Poor memory recall,Memory enhancement activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_social_emotional_1,Basic social play,Basic social play and interaction,social_emotional,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,high,true,infancy_18_24_social_emotional_1,Social interaction,Engage in simple play with others,Provide social play opportunities,No interest in social play,Social play development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_24_30_language_1,Basic vocabulary,Basic vocabulary development,language,early_childhood_24_30,2y 0m - 2y 6m,24,30,early_childhood,critical,true,infancy_18_24_language_1,Vocabulary growth,Use increasing number of words,Read together daily,Limited vocabulary growth,Vocabulary building activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_30_36_physical_1,Running,Running and advanced mobility,physical,early_childhood_30_36,2y 6m - 3y 0m,30,36,early_childhood,high,true,early_childhood_24_30_physical_1,Advanced mobility,Run with coordination,Active play and exercise,Coordination difficulties,Gross motor activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_30_36_cognitive_1,Symbolic thinking,Symbolic thinking and pretend play,cognitive,early_childhood_30_36,2y 6m - 3y 0m,30,36,early_childhood,high,true,early_childhood_24_30_cognitive_1,Symbolic thought,Engage in pretend play,Encourage imaginative play,No pretend play by 30 months,Pretend play materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_30_36_social_emotional_1,Parallel play,Parallel play with other children,social_emotional,early_childhood_30_36,2y 6m - 3y 0m,30,36,early_childhood,high,true,early_childhood_24_30_social_emotional_1,Parallel interaction,Play alongside other children,Arrange playdates,No interest in other children,Social interaction facilitation,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_30_36_language_1,Two-word phrases,Two-word phrases and combinations,language,early_childhood_30_36,2y 6m - 3y 0m,30,36,early_childhood,critical,true,early_childhood_24_30_language_1,Phrase formation,Combine words into phrases,Model two-word phrases,No phrase combinations by 30 months,Language combination practice,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_36_42_physical_1,Climbing,Climbing and playground skills,physical,early_childhood_36_42,3y 0m - 3y 6m,36,42,early_childhood,medium,true,early_childhood_30_36_physical_1,Climbing skills,Climb stairs and playground equipment,Supervised climbing practice,Fear or inability to climb,Climbing development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_36_42_cognitive_1,Basic counting,Basic counting and number concepts,cognitive,early_childhood_36_42,3y 0m - 3y 6m,36,42,early_childhood,high,true,early_childhood_30_36_cognitive_1,Number concepts,Count to 5 with objects,Counting games and activities,No counting ability by 40 months,Early math activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_36_42_social_emotional_1,Emotional expression,Emotional expression and labeling,social_emotional,early_childhood_36_42,3y 0m - 3y 6m,36,42,early_childhood,high,true,early_childhood_30_36_social_emotional_1,Emotional literacy,Express and name emotions,Emotion coaching and labeling,Inability to express emotions,Emotional development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_36_42_language_1,Vocabulary expansion,Vocabulary expansion and naming,language,early_childhood_36_42,3y 0m - 3y 6m,36,42,early_childhood,high,true,early_childhood_30_36_language_1,Word knowledge,Use 200+ words,Rich language exposure,Limited vocabulary expansion,Vocabulary enrichment activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_42_48_physical_1,Fine motor development,Fine motor development and tool use,physical,early_childhood_42_48,3y 6m - 4y 0m,42,48,early_childhood,high,true,early_childhood_36_42_physical_1,Fine motor skills,Use scissors and crayons,Fine motor practice activities,Poor fine motor control,Fine motor development tools,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_42_48_cognitive_1,Pattern recognition,Pattern recognition and sorting,cognitive,early_childhood_42_48,3y 6m - 4y 0m,42,48,early_childhood,medium,true,early_childhood_36_42_cognitive_1,Pattern skills,Recognize and create patterns,Pattern games and activities,No pattern recognition,Pattern learning materials,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_42_48_social_emotional_1,Sharing,Sharing and turn-taking skills,social_emotional,early_childhood_42_48,3y 6m - 4y 0m,42,48,early_childhood,high,true,early_childhood_36_42_social_emotional_1,Cooperative behavior,Share toys and take turns,Model and practice sharing,Inability to share or take turns,Sharing and cooperation activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_42_48_language_1,Multi-step instructions,Following multi-step instructions,language,early_childhood_42_48,3y 6m - 4y 0m,42,48,early_childhood,high,true,early_childhood_36_42_language_1,Instruction following,Follow 2-3 step instructions,Practice with clear directions,Cannot follow multi-step instructions,Instruction following practice,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_48_54_physical_1,Toilet training,Toilet training and self-care,physical,early_childhood_48_54,4y 0m - 4y 6m,48,54,early_childhood,high,true,early_childhood_42_48_physical_1,Self-care skills,Use toilet independently,Consistent toilet routine,Regression in toilet training,Toilet training support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_48_54_cognitive_1,Memory games,Memory games and recall abilities,cognitive,early_childhood_48_54,4y 0m - 4y 6m,48,54,early_childhood,medium,true,early_childhood_42_48_cognitive_1,Memory enhancement,Remember stories and sequences,Memory strengthening games,Poor memory recall,Memory development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_48_54_social_emotional_1,Independence,Independence and autonomy development,social_emotional,early_childhood_48_54,4y 0m - 4y 6m,48,54,early_childhood,high,true,early_childhood_42_48_social_emotional_1,Self-reliance,Show independence in activities,Encourage self-help skills,Excessive dependence,Independence building activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_48_54_language_1,Asking questions,Asking questions and showing curiosity,language,early_childhood_48_54,4y 0m - 4y 6m,48,54,early_childhood,high,true,early_childhood_42_48_language_1,Curiosity expression,Ask why and how questions,Encourage and answer questions,No questioning behavior,Question encouragement strategies,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_54_60_physical_1,Advanced coordination,Advanced coordination and balance,physical,early_childhood_54_60,4y 6m - 5y 0m,54,60,early_childhood,medium,true,early_childhood_48_54_physical_1,Balance skills,Hop on one foot and balance,Balance beam and coordination games,Poor coordination and balance,Coordination development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_54_60_cognitive_1,Problem-solving strategies,Problem-solving strategies development,cognitive,early_childhood_54_60,4y 6m - 5y 0m,54,60,early_childhood,high,true,early_childhood_48_54_cognitive_1,Strategic thinking,Use strategies to solve problems,Provide challenging puzzles,No problem-solving strategies,Problem-solving skill building,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_54_60_social_emotional_1,Empathy,Empathy and caring behaviors,social_emotional,early_childhood_54_60,4y 6m - 5y 0m,54,60,early_childhood,high,true,early_childhood_48_54_social_emotional_1,Empathetic response,Show concern for others,Model and discuss empathy,Lack of empathy or concern,Empathy development activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
early_childhood_54_60_language_1,Story understanding,Story understanding and retelling,language,early_childhood_54_60,4y 6m - 5y 0m,54,60,early_childhood,high,true,early_childhood_48_54_language_1,Narrative skills,Understand and retell stories,Read stories together regularly,Cannot follow or retell stories,Story comprehension activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_60_66_physical_1,Advanced gross motor,Advanced gross motor skills development,physical,preschool_60_66,5y 0m - 5y 6m,60,66,preschool,medium,true,early_childhood_54_60_physical_1,Gross motor mastery,Skip jump and run with control,Active play and sports introduction,Gross motor delays,Physical activity programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_60_66_cognitive_1,Pre-academic skills,Pre-academic skills development,cognitive,preschool_60_66,5y 0m - 5y 6m,60,66,preschool,critical,true,early_childhood_54_60_cognitive_1,Academic readiness,Recognize letters and numbers,School readiness activities,Lack of pre-academic skills,Academic preparation resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_60_66_social_emotional_1,Cooperative play,Cooperative play and friendship,social_emotional,preschool_60_66,5y 0m - 5y 6m,60,66,preschool,high,true,early_childhood_54_60_social_emotional_1,Friendship skills,Play cooperatively with friends,Facilitate group play activities,Difficulty with cooperative play,Social skills development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_60_66_language_1,Complex sentences,Complex sentence formation,language,preschool_60_66,5y 0m - 5y 6m,60,66,preschool,high,true,early_childhood_54_60_language_1,Language complexity,Use complex sentences,Engage in rich conversations,Simple sentence structure only,Language complexity activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_66_72_physical_1,Pre-writing skills,Pre-writing and drawing skills,physical,preschool_66_72,5y 6m - 6y 0m,66,72,preschool,high,true,preschool_60_66_physical_1,Writing preparation,Draw recognizable shapes and letters,Writing readiness activities,Poor pre-writing skills,Pre-writing development tools,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_66_72_cognitive_1,Mathematical concepts,Mathematical concepts and operations,cognitive,preschool_66_72,5y 6m - 6y 0m,66,72,preschool,high,true,preschool_60_66_cognitive_1,Math readiness,Basic addition and subtraction,Math manipulatives and games,No math concept understanding,Early math education resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_66_72_social_emotional_1,Emotional self-regulation,Emotional self-regulation development,social_emotional,preschool_66_72,5y 6m - 6y 0m,66,72,preschool,critical,true,preschool_60_66_social_emotional_1,Self-regulation,Manage emotions appropriately,Emotional regulation strategies,Poor emotional control,Self-regulation skill building,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
preschool_66_72_language_1,Reading readiness,Reading readiness and phonics,language,preschool_66_72,5y 6m - 6y 0m,66,72,preschool,critical,true,preschool_60_66_language_1,Reading preparation,Recognize letter sounds,Phonics and reading activities,No letter-sound recognition,Reading readiness programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_72_78_physical_1,Sports participation,Team sports participation,physical,school_age_72_78,6y 0m - 6y 6m,72,78,school_age,medium,true,preschool_66_72_physical_1,Athletic skills,Participate in team sports,Encourage sports involvement,Lack of physical activity interest,Sports programs for children,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_72_78_cognitive_1,Academic subjects,Academic subject mastery,cognitive,school_age_72_78,6y 0m - 6y 6m,72,78,school_age,critical,true,preschool_66_72_cognitive_1,Academic learning,Master grade-appropriate skills,Academic support and homework help,Academic difficulties,Educational support resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_72_78_social_emotional_1,Peer relationships,Peer relationship navigation,social_emotional,school_age_72_78,6y 0m - 6y 6m,72,78,school_age,high,true,preschool_66_72_social_emotional_1,Friendship skills,Develop meaningful friendships,Social skills practice,Difficulty making friends,Social skills development programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_72_78_language_1,Reading comprehension,Advanced reading comprehension,language,school_age_72_78,6y 0m - 6y 6m,72,78,school_age,critical,true,preschool_66_72_language_1,Reading skills,Understand what they read,Regular reading practice,Poor reading comprehension,Reading comprehension activities,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_78_84_physical_1,Fine motor precision,Advanced fine motor precision,physical,school_age_78_84,6y 6m - 7y 0m,78,84,school_age,medium,true,school_age_72_78_physical_1,Precision skills,Write legibly and use tools precisely,Fine motor practice activities,Poor handwriting and tool use,Fine motor skill development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_78_84_cognitive_1,Critical thinking,Critical thinking development,cognitive,school_age_78_84,6y 6m - 7y 0m,78,84,school_age,high,true,school_age_72_78_cognitive_1,Analytical skills,Analyze and evaluate information,Critical thinking exercises,Lack of analytical thinking,Critical thinking development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_78_84_social_emotional_1,Moral reasoning,Moral reasoning development,social_emotional,school_age_78_84,6y 6m - 7y 0m,78,84,school_age,high,true,school_age_72_78_social_emotional_1,Moral understanding,Understand right and wrong,Moral discussions and examples,Poor moral understanding,Moral development resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
school_age_78_84_language_1,Written communication,Written communication skills,language,school_age_78_84,6y 6m - 7y 0m,78,84,school_age,high,true,school_age_72_78_language_1,Writing skills,Express ideas in writing,Writing practice and feedback,Poor writing skills,Writing skill development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_144_150_physical_1,Puberty changes,Puberty and physical changes,physical,adolescence_144_150,12y 0m - 12y 6m,144,150,adolescence,critical,true,,Physical development,Normal pubertal development,Health education and support,Delayed or premature puberty,Puberty education resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_144_150_cognitive_1,Abstract reasoning,Abstract reasoning mastery,cognitive,adolescence_144_150,12y 0m - 12y 6m,144,150,adolescence,high,true,,Complex thinking,Think abstractly and hypothetically,Complex problem-solving activities,Concrete thinking only,Abstract thinking development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_144_150_social_emotional_1,Identity formation,Identity formation and exploration,social_emotional,adolescence_144_150,12y 0m - 12y 6m,144,150,adolescence,critical,true,,Identity development,Explore personal identity,Support identity exploration,Identity confusion,Identity development support,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_144_150_language_1,Advanced communication,Advanced communication skills,language,adolescence_144_150,12y 0m - 12y 6m,144,150,adolescence,high,true,,Communication mastery,Communicate effectively in various contexts,Advanced communication practice,Poor communication skills,Communication skill development,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_210_216_physical_1,Physical independence,Physical independence and health awareness,physical,adolescence_210_216,17y 6m - 18y 0m,210,216,adolescence,high,true,adolescence_144_150_physical_1,Health management,Manage personal health independently,Health education and responsibility,Poor health management,Health independence resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_210_216_cognitive_1,Career exploration,Career exploration and future planning,cognitive,adolescence_210_216,17y 6m - 18y 0m,210,216,adolescence,critical,true,adolescence_144_150_cognitive_1,Career planning,Explore career options and plan future,Career guidance and exploration,No future planning,Career exploration resources,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_210_216_social_emotional_1,Social responsibility,Social responsibility and values,social_emotional,adolescence_210_216,17y 6m - 18y 0m,210,216,adolescence,high,true,adolescence_144_150_social_emotional_1,Social awareness,Show social responsibility and civic engagement,Community involvement opportunities,Lack of social responsibility,Civic engagement programs,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
adolescence_210_216_language_1,Digital communication,Digital communication literacy,language,adolescence_210_216,17y 6m - 18y 0m,210,216,adolescence,medium,true,adolescence_144_150_language_1,Digital literacy,Communicate effectively in digital environments,Digital communication practice,Poor digital communication,Digital literacy education,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
